                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.1054,                 1.1046,                 1.8685,                0.98555,                      1,                  0.995,                0.75192,                0.97843,                 1.1532,                 1.6664,             3.7711e-05,             3.7711e-05,             3.7711e-05
                     71,                 1.1407,                 1.1363,                 1.9002,                0.98772,                      1,                  0.995,                0.75584,                0.95085,                 1.1295,                 1.6255,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     72,                 1.1525,                 1.1259,                 1.9048,                 0.9856,                      1,                  0.995,                0.77423,                0.94197,                 1.1198,                  1.631,             3.5355e-05,             3.5355e-05,             3.5355e-05
                     73,                 1.1306,                  1.134,                 1.9204,                 0.9828,                      1,                0.99476,                0.74778,                0.98391,                 1.1056,                 1.6732,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     74,                 1.0672,                  1.064,                 1.8718,                 0.9828,                      1,                  0.995,                0.76174,                0.96345,                 1.1006,                 1.6344,             3.2999e-05,             3.2999e-05,             3.2999e-05
                     75,                 1.1354,                 1.1171,                 1.8961,                0.98685,                      1,                  0.995,                0.77753,                0.95384,                 1.0848,                 1.6281,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     76,                 1.1496,                 1.1069,                 1.8837,                0.99786,                      1,                  0.995,                0.74488,                0.96424,                 1.1241,                 1.6633,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     77,                 1.0857,                 1.0573,                 1.8354,                0.99161,                0.99792,                  0.995,                0.75936,                0.92437,                  1.104,                 1.6117,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     78,                 1.1349,                 1.0943,                 1.9055,                0.99714,                      1,                  0.995,                0.76364,                0.92846,                 1.0803,                 1.6261,             2.8286e-05,             2.8286e-05,             2.8286e-05
                     79,                 1.0686,                 1.0632,                 1.8246,                0.99452,                      1,                  0.995,                0.77846,                0.92782,                 1.0457,                 1.6116,             2.7108e-05,             2.7108e-05,             2.7108e-05
                     80,                 1.0542,                 1.0272,                 1.8073,                0.99262,                      1,                  0.995,                0.77916,                0.89547,                  1.061,                 1.5788,              2.593e-05,              2.593e-05,              2.593e-05
                     81,                 1.0745,                 1.0687,                 1.8158,                0.99513,                      1,                  0.995,                 0.7868,                0.89209,                 1.0725,                 1.5687,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     82,                 1.1074,                 1.0545,                 1.8484,                0.99143,                      1,                  0.995,                0.76967,                0.90389,                 1.0761,                 1.6009,             2.3574e-05,             2.3574e-05,             2.3574e-05
                     83,                 1.0839,                 1.0841,                 1.8019,                0.98592,                0.99928,                  0.995,                0.77807,                0.90051,                 1.0703,                 1.5814,             2.2396e-05,             2.2396e-05,             2.2396e-05
                     84,                 1.0807,                 1.0879,                 1.8512,                0.98711,                      1,                  0.995,                 0.7734,                  0.913,                 1.0539,                 1.5932,             2.1218e-05,             2.1218e-05,             2.1218e-05
                     85,                 1.0958,                  1.044,                  1.838,                0.99363,                0.99983,                  0.995,                 0.7655,                0.90987,                 1.0493,                 1.6004,              2.004e-05,              2.004e-05,              2.004e-05
